customer id,age_group,gender,cheeseburger,bacon burger,chili cheese ,blue cheese mushroom,double cheese,double bacon,crispy chicken,vegan burger,revenue
" 132,342,450 ",50 - 59 years,Female,,,,,62.0,,,,62
" 226,425,008 ",not specified,Male,,,,,,27.0,,,27
" 245,547,510 ",60 years,Male,,45.0,,,,,,,45
" 246,705,272 ",50 - 59 years,Female,50.0,,,,,,,,50
" 248,381,461 ",not specified,Female,25.0,,,,,,,,25
" 364,442,166 ",not specified,Female,32.0,,,24.0,,,,,56
" 381,293,288 ",20 - 29 years,Female,25.0,,,,,,,,25
" 442,129,446 ",not specified,Female,,,,,,28.0,,,28
" 455,441,297 ",20 - 29 years,Female,78.0,,,,,,,,78
" 457,114,200 ",not specified,Female,,,,,88.0,,,,88
" 472,668,988 ",20 - 29 years,Male,52.0,,,,,,,,52
" 483,726,577 ",not specified,Female,,,,,90.0,72.0,12.0,,174
" 590,810,140 ",not specified,Female,,,,72.0,,,,,72
" 760,542,092 ",not specified,Female,,,,,10.0,,,,10
" 770,040,797 ",60 years,Female,,48.0,,,,,,,48
" 854,859,734 ",20 - 29 years,Female,31.0,,,,,,,,31
" 887,577,106 ",30 - 39 years,Female,80.0,41.0,,,,,,,121
" 900,384,379 ",not specified,Female,98.0,90.0,,,,,,,188
" 943,292,000 ",not specified,Male,,75.0,,,,,,,75
" 1,010,779,121 ",not specified,Female,,,,,,,,40.0,40
" 1,020,003,921 ",50 - 59 years, ,,,,,40.0,100.0,,,140
" 1,079,710,192 ",not specified,Female,,,,,,,23.0,,23
" 1,083,275,993 ",not specified,Female,14.0,,,,,,,,14
" 1,087,241,957 ",not specified,Female,44.0,,,,,,,,44
" 1,154,624,155 ",not specified, ,99.0,,,,,,,,99
" 1,224,946,989 ",not specified,Male,,39.0,,,,,,10.0,49
" 1,267,433,034 ",not specified,Male,88.0,,,,,,,,88
" 1,413,432,538 ",40 - 49 years,Female,,,30.0,,,,,,30
" 1,430,456,728 ",not specified,Female,,,,,,,40.0,,40
" 1,602,973,751 ",not specified,Female,94.0,,,,,,,,94
" 1,693,237,519 ",not specified,Male,,,,,76.0,,27.0,,103
" 1,694,164,933 ",20 - 29 years,Female,,36.0,,,,,,,36
" 1,801,980,186 ",not specified,Male,,,,,28.0,,,,28
" 1,802,846,108 ",not specified,Female,45.0,,,,,,,,45
" 1,806,549,603 ",20 - 29 years,Male,,40.0,,,,,,,40
" 1,810,519,444 ",60 years,Male,,,,,52.0,,,,52
" 1,823,558,382 ",60 years,Male,75.0,,,,,,,,75
" 1,875,683,630 ",not specified,Female,44.0,,,,,,,,44
" 1,913,377,172 ",20 - 29 years,Female,16.0,,,,,,,,16
" 2,085,025,012 ",40 - 49 years,Female,,,,,,,18.0,,18
" 2,142,790,079 ",not specified,Male,,,,,,66.0,,,66
" 2,204,096,535 ",not specified,Female,,,,46.0,,,,,46
" 2,205,708,791 ",not specified,Male,,,,,,84.0,,,84
" 2,213,503,717 ",50 - 59 years,Female,,,,,,41.0,,,41
" 2,278,499,633 ",40 - 49 years,Female,,,,,49.0,,,,49
" 2,363,004,201 ",not specified,Male,68.0,,,,,,,,68
" 2,463,450,601 ",not specified,Female,,,,,22.0,,,,22
" 2,503,496,714 ",not specified,Female,20.0,,,,,,,,20
" 2,513,364,975 ",not specified,Male,64.0,,,,,,,,64
" 2,532,701,514 ",not specified,Female,28.0,,,,,,,,28
" 2,623,443,614 ",not specified,Female,,,,,,,19.0,,19
" 2,668,312,097 ",not specified,Female,40.0,34.0,,20.0,,,,,94
" 2,713,018,685 ",not specified,Female,30.0,,,,,,,,30
" 2,954,150,797 ",40 - 49 years,Female,70.0,,,,,,,,70
" 2,962,084,606 ",40 - 49 years, ,,,,,,80.0,,,80
" 2,973,746,470 ",50 - 59 years,Female,36.0,,,,,,,,36
" 3,031,240,002 ",40 - 49 years,Female,,,,,70.0,,,,70
" 3,056,764,666 ",not specified,Female,,16.0,,,,20.0,,,36
" 3,078,007,040 ",40 - 49 years,Female,,,,,57.0,,,,57
" 3,084,440,925 ",40 - 49 years,Female,51.0,,,,,,,,51
" 3,243,218,003 ",not specified,Female,,,,,87.0,,,,87
" 3,258,699,306 ",30 - 39 years,Female,38.0,,,,,,,,38
" 3,272,031,305 ",not specified,Female,,21.0,,,,,,,21
" 3,417,615,855 ",not specified,Female,51.0,,,30.0,,,,,81
" 3,490,223,436 ",not specified,Female,,,,,100.0,,,,100
" 3,507,062,967 ",not specified, ,,,,,,,20.0,,20
" 3,512,518,340 ",not specified,Female,,,,,70.0,,,,70
" 3,533,571,404 ",not specified,Male,20.0,,,15.0,,,,,35
" 3,537,989,391 ",40 - 49 years,Male,,,,,,35.0,,,35
" 3,569,541,354 ",20 - 29 years,Female,56.0,,,,,,,,56
" 3,572,464,931 ",30 - 39 years,Female,72.0,,,,,,,,72
" 3,583,313,973 ",not specified,Male,24.0,,,,,,,,24
" 3,600,016,148 ",20 - 29 years, ,24.0,,,,,,,,24
" 3,611,999,445 ",not specified,Male,25.0,,,,30.0,,,,55
" 3,735,625,626 ",20 - 29 years,Female,,,,,,60.0,,,60
" 3,931,942,236 ",50 - 59 years,Female,,,,,57.0,,,,57
" 3,935,171,537 ",20 - 29 years,Female,,,,,40.0,,,,40
" 3,951,326,010 ",40 - 49 years,Female,28.0,,,,,,,,28
" 3,970,384,532 ",30 - 39 years,Female,52.0,,,,,,,,52
" 4,045,689,549 ",30 - 39 years,Female,60.0,,,,,,,,60
" 4,059,958,355 ",not specified,Female,,,,,75.0,,,,75
" 4,109,868,674 ",20 - 29 years,Female,84.0,,,,,,,,84
" 4,133,488,986 ",not specified,Male,,,,41.0,,,,,41
" 4,248,894,801 ",not specified,Female,15.0,,,,,,,,15
" 4,279,709,361 ",20 - 29 years,Female,,,73.0,,,,65.0,,138
" 4,285,168,785 ",40 - 49 years,Female,32.0,,,,,,,,32
" 4,357,270,103 ",not specified,Female,53.0,,,,,,,,53
" 4,389,106,131 ",not specified,Female,87.0,,,,,,,,87
" 4,433,729,103 ",not specified,Female,,,,,80.0,,20.0,,100
" 4,455,230,349 ",not specified,Female,49.0,,,,,,,,49
" 4,536,831,043 ",not specified,Female,36.0,,,41.0,,,,,77
" 4,571,588,153 ",not specified,Female,88.0,,,,,,,,88
" 4,617,122,292 ",30 - 39 years,Male,29.0,,,,,,,,29
" 4,625,655,566 ",50 - 59 years,Male,60.0,,,,,,,,60
" 4,720,016,953 ",not specified, ,,,,,,,56.0,,56
" 4,747,424,746 ",not specified,Female,57.0,,,,,,,,57
" 4,816,045,212 ",not specified,Female,68.0,,,,,,,,68
" 4,833,009,666 ",not specified,Male,38.0,,,,,,,,38
" 4,834,861,766 ",not specified,Female,28.0,,,,,,,,28
" 4,852,601,394 ",not specified,Female,,,,,,,,75.0,75
" 4,895,055,593 ",not specified,Male,77.0,,,,,,,,77
" 4,949,645,910 ",40 - 49 years,Male,,,,,68.0,,,23.0,92
" 5,032,362,600 ",20 - 29 years,Female,42.0,,,,98.0,,,,140
" 5,101,693,825 ",not specified,Female,,20.0,,,,,,,20
" 5,107,898,736 ",not specified,Male,,,,,23.0,,,,23
" 5,233,703,181 ",not specified,Male,,76.0,,,,,,,76
" 5,268,188,512 ",20 - 29 years,Female,,70.0,,,,,,,70
" 5,277,408,966 ",not specified, ,16.0,,,,,,,,16
