customer id,age_group,gender,cheeseburger,bacon burger,chili cheese ,blue cheese mushroom,double cheese,double bacon,crispy chicken,vegan burger,revenue
" 132,342,450 ",50 - 59 years,Female,,,,,62 ,,,,62 
" 226,425,008 ",not specified,Male,,,,,,27 ,,,27 
" 245,547,510 ",60 years,Male,,45 ,,,,,,,45 
" 246,705,272 ",50 - 59 years,Female,50 ,,,,,,,,50 
" 248,381,461 ",not specified,Female,25 ,,,,,,,,25 
" 364,442,166 ",not specified,Female,32 ,,,24 ,,,,,56 
" 381,293,288 ",20 - 29 years,Female,25 ,,,,,,,,25 
" 442,129,446 ",not specified,Female,,,,,,28 ,,,28 
" 455,441,297 ",20 - 29 years,Female,78 ,,,,,,,,78 
" 457,114,200 ",not specified,Female,,,,,88 ,,,,88 
" 472,668,988 ",20 - 29 years,Male,52 ,,,,,,,,52 
" 483,726,577 ",not specified,Female,,,,,90 ,72 ,12 ,,174 
" 590,810,140 ",not specified,Female,,,,72 ,,,,,72 
" 760,542,092 ",not specified,Female,,,,,10 ,,,,10 
" 770,040,797 ",60 years,Female,,48 ,,,,,,,48 
" 854,859,734 ",20 - 29 years,Female,31 ,,,,,,,,31 
" 887,577,106 ",30 - 39 years,Female,80 ,41 ,,,,,,,121 
" 900,384,379 ",not specified,Female,98 ,90 ,,,,,,,188 
" 943,292,000 ",not specified,Male,,75 ,,,,,,,75 
" 1,010,779,121 ",not specified,Female,,,,,,,,40 ,40 
" 1,020,003,921 ",50 - 59 years, ,,,,,40 ,100 ,,,140 
" 1,079,710,192 ",not specified,Female,,,,,,,23 ,,23 
" 1,083,275,993 ",not specified,Female,14 ,,,,,,,,14 
" 1,087,241,957 ",not specified,Female,44 ,,,,,,,,44 
" 1,154,624,155 ",not specified, ,99 ,,,,,,,,99 
" 1,224,946,989 ",not specified,Male,,39 ,,,,,,10 ,49 
" 1,267,433,034 ",not specified,Male,88 ,,,,,,,,88 
" 1,413,432,538 ",40 - 49 years,Female,,,30 ,,,,,,30 
" 1,430,456,728 ",not specified,Female,,,,,,,40 ,,40 
" 1,602,973,751 ",not specified,Female,94 ,,,,,,,,94 
" 1,693,237,519 ",not specified,Male,,,,,76 ,,27 ,,103 
" 1,694,164,933 ",20 - 29 years,Female,,36 ,,,,,,,36 
" 1,801,980,186 ",not specified,Male,,,,,28 ,,,,28 
" 1,802,846,108 ",not specified,Female,45 ,,,,,,,,45 
" 1,806,549,603 ",20 - 29 years,Male,,40 ,,,,,,,40 
" 1,810,519,444 ",60 years,Male,,,,,52 ,,,,52 
" 1,823,558,382 ",60 years,Male,75 ,,,,,,,,75 
" 1,875,683,630 ",not specified,Female,44 ,,,,,,,,44 
" 1,913,377,172 ",20 - 29 years,Female,16 ,,,,,,,,16 
" 2,085,025,012 ",40 - 49 years,Female,,,,,,,18 ,,18 
" 2,142,790,079 ",not specified,Male,,,,,,66 ,,,66 
" 2,204,096,535 ",not specified,Female,,,,46 ,,,,,46 
" 2,205,708,791 ",not specified,Male,,,,,,84 ,,,84 
" 2,213,503,717 ",50 - 59 years,Female,,,,,,41 ,,,41 
" 2,278,499,633 ",40 - 49 years,Female,,,,,49 ,,,,49 
" 2,363,004,201 ",not specified,Male,68 ,,,,,,,,68 
" 2,463,450,601 ",not specified,Female,,,,,22 ,,,,22 
" 2,503,496,714 ",not specified,Female,20 ,,,,,,,,20 
" 2,513,364,975 ",not specified,Male,64 ,,,,,,,,64 
" 2,532,701,514 ",not specified,Female,28 ,,,,,,,,28 
" 2,623,443,614 ",not specified,Female,,,,,,,19 ,,19 
" 2,668,312,097 ",not specified,Female,40 ,34 ,,20 ,,,,,94 
" 2,713,018,685 ",not specified,Female,30 ,,,,,,,,30 
" 2,954,150,797 ",40 - 49 years,Female,70 ,,,,,,,,70 
" 2,962,084,606 ",40 - 49 years, ,,,,,,80 ,,,80 
" 2,973,746,470 ",50 - 59 years,Female,36 ,,,,,,,,36 
" 3,031,240,002 ",40 - 49 years,Female,,,,,70 ,,,,70 
" 3,056,764,666 ",not specified,Female,,16 ,,,,20 ,,,36 
" 3,078,007,040 ",40 - 49 years,Female,,,,,57 ,,,,57 
" 3,084,440,925 ",40 - 49 years,Female,51 ,,,,,,,,51 
" 3,243,218,003 ",not specified,Female,,,,,87 ,,,,87 
" 3,258,699,306 ",30 - 39 years,Female,38 ,,,,,,,,38 
" 3,272,031,305 ",not specified,Female,,21 ,,,,,,,21 
" 3,417,615,855 ",not specified,Female,51 ,,,30 ,,,,,81 
" 3,490,223,436 ",not specified,Female,,,,,100 ,,,,100 
" 3,507,062,967 ",not specified, ,,,,,,,20 ,,20 
" 3,512,518,340 ",not specified,Female,,,,,70 ,,,,70 
" 3,533,571,404 ",not specified,Male,20 ,,,15 ,,,,,35 
" 3,537,989,391 ",40 - 49 years,Male,,,,,,35 ,,,35 
" 3,569,541,354 ",20 - 29 years,Female,56 ,,,,,,,,56 
" 3,572,464,931 ",30 - 39 years,Female,72 ,,,,,,,,72 
" 3,583,313,973 ",not specified,Male,24 ,,,,,,,,24 
" 3,600,016,148 ",20 - 29 years, ,24 ,,,,,,,,24 
" 3,611,999,445 ",not specified,Male,25 ,,,,30 ,,,,55 
" 3,735,625,626 ",20 - 29 years,Female,,,,,,60 ,,,60 
" 3,931,942,236 ",50 - 59 years,Female,,,,,57 ,,,,57 
" 3,935,171,537 ",20 - 29 years,Female,,,,,40 ,,,,40 
" 3,951,326,010 ",40 - 49 years,Female,28 ,,,,,,,,28 
" 3,970,384,532 ",30 - 39 years,Female,52 ,,,,,,,,52 
" 4,045,689,549 ",30 - 39 years,Female,60 ,,,,,,,,60 
" 4,059,958,355 ",not specified,Female,,,,,75 ,,,,75 
" 4,109,868,674 ",20 - 29 years,Female,84 ,,,,,,,,84 
" 4,133,488,986 ",not specified,Male,,,,41 ,,,,,41 
" 4,248,894,801 ",not specified,Female,15 ,,,,,,,,15 
" 4,279,709,361 ",20 - 29 years,Female,,,73 ,,,,65 ,,138 
" 4,285,168,785 ",40 - 49 years,Female,32 ,,,,,,,,32 
" 4,357,270,103 ",not specified,Female,53 ,,,,,,,,53 
" 4,389,106,131 ",not specified,Female,87 ,,,,,,,,87 
" 4,433,729,103 ",not specified,Female,,,,,80 ,,20 ,,100 
" 4,455,230,349 ",not specified,Female,49 ,,,,,,,,49 
" 4,536,831,043 ",not specified,Female,36 ,,,41 ,,,,,77 
" 4,571,588,153 ",not specified,Female,88 ,,,,,,,,88 
" 4,617,122,292 ",30 - 39 years,Male,29 ,,,,,,,,29 
" 4,625,655,566 ",50 - 59 years,Male,60 ,,,,,,,,60 
" 4,720,016,953 ",not specified, ,,,,,,,56 ,,56 
" 4,747,424,746 ",not specified,Female,57 ,,,,,,,,57 
" 4,816,045,212 ",not specified,Female,68 ,,,,,,,,68 
" 4,833,009,666 ",not specified,Male,38 ,,,,,,,,38 
" 4,834,861,766 ",not specified,Female,28 ,,,,,,,,28 
" 4,852,601,394 ",not specified,Female,,,,,,,,75 ,75 
" 4,895,055,593 ",not specified,Male,77 ,,,,,,,,77 
" 4,949,645,910 ",40 - 49 years,Male,,,,,68 ,,,23 ,92 
" 5,032,362,600 ",20 - 29 years,Female,42 ,,,,98 ,,,,140 
" 5,101,693,825 ",not specified,Female,,20 ,,,,,,,20 
" 5,107,898,736 ",not specified,Male,,,,,23 ,,,,23 
" 5,233,703,181 ",not specified,Male,,76 ,,,,,,,76 
" 5,268,188,512 ",20 - 29 years,Female,,70 ,,,,,,,70 
" 5,277,408,966 ",not specified, ,16 ,,,,,,,,16 
" 5,298,246,727 ",50 - 59 years,Female,,,,,47 ,,,,47 
" 5,334,554,040 ",not specified,Female,35 ,,31 ,,,,,,66 
" 5,351,671,295 ",20 - 29 years,Female,10 ,,,,,,,,10 
" 5,356,866,081 ",50 - 59 years,Female,,,,,,85 ,,,85 
" 5,364,985,892 ",not specified,Female,,,,,,,,40 ,40 
" 5,383,115,113 ",40 - 49 years,Female,19 ,,,,,,,,19 
" 5,420,458,777 ",30 - 39 years,Female,62 ,,,,,,,,62 
" 5,517,104,687 ",not specified,Female,,85 ,61 ,,,,,,146 
" 5,559,344,596 ",20 - 29 years,Female,16 ,,,,,,,,16 
" 5,643,046,648 ",40 - 49 years,Female,,,,,22 ,,,,22 
" 5,653,535,236 ",60 years,Male,40 ,,,,,,,,40 
" 5,707,118,022 ",not specified,Female,,,13 ,20 ,,,,,33 
" 5,853,976,513 ",not specified,Male,64 ,,,,,,,,64 
" 5,916,974,962 ",30 - 39 years,Female,,,,,,,19 ,,19 
" 5,973,148,398 ",20 - 29 years,Female,,60 ,,,,,,,60 
" 6,060,685,622 ",20 - 29 years,Female,18 ,,,,,,,,18 
" 6,105,410,676 ",not specified,Female,,,,58 ,,,,,58 
" 6,158,936,854 ",not specified,Male,84 ,,,,,,,,84 
" 6,256,481,203 ",not specified,Female,,50 ,,,,,,,50 
" 6,297,881,477 ",not specified,Female,,35 ,,,,,,,35 
" 6,310,780,833 ",60 years,Female,,,,,48 ,,,,48 
" 6,335,186,206 ",50 - 59 years,Female,20 ,,,,,,,,20 
" 6,469,297,362 ",not specified,Female,52 ,,,,,,,,52 
" 6,720,460,107 ",60 years,Female,,,,,,56 ,,,56 
" 6,742,368,444 ",50 - 59 years,Female,34 ,,,,,,,,34 
" 6,771,181,799 ",40 - 49 years,Male,,17 ,,,,,,,17 
" 6,910,341,371 ",30 - 39 years,Female,,39 ,,,,,,,39 
" 7,122,432,598 ",30 - 39 years,Male,,,8 ,,,85 ,,,93 
" 7,146,144,034 ",not specified,Female,46 ,50 ,,,,60 ,,,156 
" 7,173,953,069 ",60 years,Female,55 ,,,,,,,,55 
" 7,209,920,436 ",not specified,Male,,,,,,,,55 ,55 
" 7,335,677,452 ",30 - 39 years,Female,,,,,,72 ,,,72 
" 7,403,032,567 ",not specified,Male,40 ,,,,,,,,40 
" 7,412,987,585 ",40 - 49 years,Female,28 ,,,,,,,,28 
" 7,506,144,035 ",not specified,Female,21 ,,,,,,,,21 
" 7,576,089,948 ",not specified, ,,,,,,,12 ,,12 
" 7,578,108,405 ",30 - 39 years,Female,32 ,,,,,,,,32 
